id, latitude, longitude
12244231771,24.9284,67.0895
12244231770,24.9283,67.0894
12244231769,24.9282,67.0895
12244231768,24.928,67.0892
12244231767,24.928,67.0892
12244231766,24.9279,67.089
12244231765,24.928,67.0889
12244231764,24.928,67.0889
12244231762,24.9284,67.0886
12244231761,24.9285,67.0885
12244231759,24.9284,67.0885
12244231758,24.9285,67.0884
12244057784,24.9253,67.0875
12244057783,24.9254,67.0874
12244057782,24.9254,67.0873
12244057781,24.9254,67.0872
12244057780,24.9255,67.0873
12244057779,24.9255,67.087
12244057778,24.9256,67.0871
12244057777,24.9256,67.0871
12244057776,24.9257,67.0871
12244057775,24.925,67.088
12244057774,24.9251,67.0879
12244057773,24.9251,67.0879
12244057772,24.9255,67.0875
12243869346,24.924,67.084
12243869345,24.9242,67.0838
12243869344,24.9244,67.0833
12243869343,24.9254,67.0832
12243869342,24.9252,67.084
12243869341,24.9255,67.0837
12243869340,24.9256,67.0838
12243869339,24.9259,67.0839
12243869338,24.9256,67.0846
12243869337,24.9256,67.0844
12243869336,24.9254,67.0841
12243869335,24.9251,67.0843
12243869334,24.9248,67.0844
12243869333,24.9248,67.0848
12243869331,24.9241,67.0845
12243869330,24.9241,67.0845
12243869329,24.9243,67.0847
12243869328,24.9243,67.0848
12243869327,24.9245,67.0851
12243869326,24.9245,67.0854
12243869325,24.9247,67.0852
12241588689,24.9109,67.0763
12241457662,24.9123,67.0786
12240647217,24.9257,67.0868
12240647216,24.9259,67.0868
12240647215,24.9259,67.0869
12240647214,24.9258,67.087
12240647213,24.9271,67.0859
12240647212,24.9272,67.0859
12240647211,24.9274,67.0863
12240647210,24.9273,67.0865
12240647209,24.9272,67.0865
12240647208,24.9269,67.0862
12240647207,24.9269,67.0866
12240518985,24.9262,67.0868
12240518984,24.9261,67.0868
12240518983,24.9261,67.0868
12240518982,24.9261,67.0869
12240518981,24.9263,67.087
12240518966,24.9263,67.0881
12240518965,24.9264,67.0883
12240518963,24.9266,67.0884
12240518962,24.9265,67.0885
12240518961,24.9266,67.0887
12240518960,24.9266,67.0888
12240518959,24.9268,67.0884
12240518958,24.9268,67.0887
12240518957,24.9269,67.0886
12240518956,24.9269,67.0886
12240518955,24.927,67.0885
12240494966,24.9272,67.0885
12240435541,24.9277,67.0883
12240435540,24.9275,67.0884
12240435539,24.9275,67.0884
12240435538,24.9273,67.0885
12237296825,24.9257,67.09
12237296824,24.9257,67.0899
12237296823,24.9258,67.09
12237296822,24.9259,67.0899
12237296821,24.9263,67.0893
12237296820,24.9266,67.0894
12237296819,24.9265,67.0893
12237296818,24.9265,67.0894
12237296817,24.9265,67.0894
12237296816,24.9264,67.0895
12237296815,24.9256,67.0901
12237296814,24.9256,67.0903
12237296813,24.9255,67.0902
12237296812,24.9255,67.0903
12237296811,24.9254,67.0903
12237296810,24.9251,67.0907
12237296809,24.925,67.0907
12237296808,24.9249,67.0908
12237296807,24.9247,67.0905
12237296806,24.924,67.0906
12237296805,24.9239,67.0905
12237296804,24.9236,67.0901
12237296803,24.9236,67.0899
12237296802,24.9235,67.09
12237296801,24.9225,67.0883
12237198305,24.9216,67.0814
12237198304,24.9217,67.0816
12237198303,24.9219,67.0818
12237198301,24.9207,67.083
